Process Date,Buyer,CIN,Item Desc,DC,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2024-12-18,617,4806725,ELIQUIS TB 5MG 60,10 - Jackson,Product in Blocked - FDC,1522,2,2,,,,,,
2024-12-18,602,5488937,REPATHA SURECLICK SY 140/ML 2X1ML,43 - Swedesboro,Product in Blocked - FDC,1311,265,265,,,,,,
2024-12-18,640,5781216,OMNIPOD 5 PODS 5 PACK,26 - Greensboro,Product in Blocked - FDC,1029,15,15,,,,,,
2024-12-18,613,5423470,BIKTARVY 50-200-25MG TB 30 CPLT,10 - Jackson,Product in Blocked - FDC,783,5,5,,,,,,
2024-12-18,628,5960182,SCOPOLAMINE AP 1MG/72HR 4,15 - Aurora,Product in Blocked - NLC,780,8,8,,,,,,
2024-12-18,628,5960182,SCOPOLAMINE AP 1MG/72HR 4,18 - St. Louis,Product in Blocked - NLC,780,3,3,,,,,,
2024-12-18,605,5009469,JARDIANCE TB 25MG 30,10 - Jackson,Product in Blocked - FDC,629,1,1,,,,,,
2024-12-18,628,4985032,LIDOCAINE AP 5% 30,34 - Sacramento,Product in Blocked - FDC,564,13,33,,,,,,
2024-12-18,625,5420997,OSELTAMIVIR PHOS CP 45MG 10UD BPK,35 - Salt Lake,Product in Quarantine - NLC,240,1,4,,,,,,
2024-12-18,617,5108600,ENTRESTO TB 24-26MG 60,34 - Sacramento,Product in Blocked - FDC,192,2,2,,,,,,
2024-12-18,625,5756432,LIDOCAINE AP 4% 30,34 - Sacramento,Product in Blocked - FDC,160,2,2,,,,,,
2024-12-18,613,5649926,INS LISPRO SY 100U/ML 5X3 KWIKPEN,10 - Jackson,Product in Blocked - FDC,157,1,1,,,,,,
2024-12-18,604,5676887,XIIDRA DR 5% 12X5X0.2ML,64 - Kinray,Product in Blocked - FDC,146,15,15,,,,,,
2024-12-18,625,4256459,GAVILYTE-C PT 4000ML LEMON,64 - Kinray,Product in Blocked - FDC,132,4,6,,,,,,
2024-12-18,625,2368843,FERROUS SULF FC TB 325MG100RD MJR,26 - Greensboro,Product in Blocked - FDC,120,2,2,,,,,,
2024-12-18,613,5225917,INS HUMULIN R SY500U/ML2X3KWIKPEN,6 - Boston,Product in Blocked - FDC,110,14,21,,,,,,
