Process Date,Buyer,Supplier,CIN,Item Desc,RCA,Blocked Qty,Short Qty,Order Qty,PROCESS_DATE,BUYER_NUMBER,SUPPLIER_NUM,CIN_DESC,BLOCKED_QTY,SHORT_QTY,ORDER_QTY
2025-02-17,640,10896.0,5822887,DEXCOM G7 SENSOR KT,Product in Blocked - FDC,21560,24,24,,,,,,,
2025-02-17,640,10896.0,5822887,DEXCOM G7 SENSOR KT,Product in Blocked - FDC,12320,10,10,,,,,,,
2025-02-17,601,58806.0,5888219,INS GLARGINE-YFGN SY100U/ML 5X3ML,Product in Blocked - FDC,1080,35,35,,,,,,,
2025-02-17,625,4901.0,5421003,OSELTAMIVIR PHOS CP 75MG 10UD BPK,Product in Blocked - FDC,960,4,4,,,,,,,
2025-02-17,605,5463.0,5009444,JARDIANCE TB 10MG 30,Product in Blocked - FDC,751,6,8,,,,,,,
2025-02-17,613,7100.0,5485529,EMGALITY SY 120MG/ML 1ML PF PPN,Product in Blocked - FDC,407,1,1,,,,,,,
2025-02-17,602,58198.0,5808621,AUVELITY TB 45-105MG 30,Product in Blocked - FDC,395,8,8,,,,,,,
2025-02-17,640,57548.0,5781216,OMNIPOD 5 PODS 5 PACK,Product in Blocked - FDC,390,56,56,,,,,,,
2025-02-17,645,57416.0,3990033,MUCINEX D TB 1200-120MG 24 IR/ER,Product in Blocked - FDC,336,29,29,,,,,,,
2025-02-17,645,57416.0,3643442,MUCINEX D TB 600-60MG 18 ER,Product in Blocked - FDC,312,81,81,,,,,,,
2025-02-17,624,4782.0,5868138,LISDEXAMFETAMINE CP 50MG 100   C2,Product in Blocked - FDC,192,1,1,,,,,,,
2025-02-17,603,9.0,4301495,SOLU-CORTEF PR 100MG AOV 2ML,Product in Blocked - FDC,146,1,1,,,,,,,
2025-02-17,601,58806.0,5888227,SEMGLEE SY 100U/ML 5X3ML,Product in Blocked - FDC,144,7,7,,,,,,,
2025-02-17,625,8986.0,5062849,HYDROCHLOROTHIAZIDE TB 25MG 1000,Product in Blocked - FDC,120,1,1,,,,,,,
2025-02-17,639,8834.0,3803608,BV MAGNESIUM OXIDE TB 400MG 120,Product in Blocked - FDC,96,21,21,,,,,,,
2025-02-17,627,2811.0,5720321,FLUT PROP/SALM IN 250-50MCG 60,Product in Blocked - FDC,96,1,1,,,,,,,
2025-02-17,639,2706.0,5350483,PUREMARK VITAMIN D CP 2000IU 60,Product in Blocked - FDC,84,3,3,,,,,,,
2025-02-17,627,2543.0,3725660,PRAVASTATIN TB 10MG 90,Product in Blocked - FDC,72,2,2,,,,,,,
2025-02-17,645,5623.0,5434980,DENTEK FLOSS PICKS 75 TRP CLN,Product in Blocked - FDC,72,4,4,,,,,,,
2025-02-17,601,10804.0,5494018,XYOSTED SY 100MG/0.5ML 4X0.5ML C3,Product in Quarantine - FDC,72,5,5,,,,,,,
2025-02-17,633,10556.0,5510045,OSELTAMIVIR PHOS CP 30MG 10UD BPK,Product in Blocked - FDC,66,12,12,,,,,,,
2025-02-17,632,57669.0,5384169,TOBRAMYCIN DR 0.3% 5ML OPTH,Product in Blocked - FDC,61,4,4,,,,,,,
2025-02-17,639,2968.0,3768751,DIGESTIVE ENZYMES TB 90,Product in Blocked - FDC,48,1,1,,,,,,,
2025-02-17,625,5220.0,5673066,STMCH RLF LQ525MG/15ML237ML AF SF,Product in Blocked - FDC,48,3,3,,,,,,,
2025-02-17,624,4782.0,4598280,NALTREXONE HCL TB 50MG 30,Product in Blocked - FDC,48,13,13,,,,,,,
2025-02-17,602,10576.0,3334042,TRI-LUMA CR 0.01-4-0.05% 30GM,Product in Quarantine - FDC,47,5,5,,,,,,,
2025-02-17,625,8986.0,5305768,TROSPIUM CHLORIDE TB 20MG 60,Product in Blocked - FDC,43,2,2,,,,,,,
2025-02-17,604,51.0,5858022,SUFLAVE KT 2X188.73GM PWD,Product in Blocked - FDC,42,1,1,,,,,,,
2025-02-17,641,58366.0,5789243,LDR TM COQ-10 GC 100MG 108 SFG,Product in Blocked - FDC,41,2,2,,,,,,,
2025-02-17,633,11037.0,5226030,ALBUT/IPRAT AH2.5-0.5MG/3ML 6X5UD,Product in Blocked - FDC,36,1,3,,,,,,,
2025-02-17,627,9189.0,3926722,HEPARIN IV FLUSH SY 10U60X5ML PFL,Product in Blocked - FDC,32,1,1,,,,,,,
2025-02-17,625,10863.0,5850482,PANTOPRAZOLE SOD PK40MG30UD DR EC,Product in Blocked - FDC,29,3,4,,,,,,,
2025-02-17,606,9528.0,4827168,NEBUSAL AH 3% 60X4MLUD INH,Product in Blocked - FDC,27,35,35,,,,,,,
2025-02-17,625,8986.0,5929609,GRISEOFULVIN MICRO TB 500MG 100,Product in Blocked - FDC,24,2,2,,,,,,,
2025-02-17,633,2610.0,5548532,POTASSIUM CL TB 8MEQ 100 ER,Product in Blocked - FDC,24,1,1,,,,,,,
2025-02-17,633,2610.0,5548532,POTASSIUM CL TB 8MEQ 100 ER,Product in Blocked - FDC,24,2,2,,,,,,,
2025-02-17,633,4618.0,5701586,SODIUM FL 5000 PS 1.1% 100ML DMTH,Product in Blocked - FDC,24,2,2,,,,,,,
2025-02-17,628,58503.0,5964721,ISOSORBIDE MONO TB 20MG 100,Product in Blocked - FDC,24,4,4,,,,,,,
2025-02-17,602,5213.0,4536033,ENLYTE GC 30 SFG W/DELTAFOL,Product in Blocked - FDC,24,4,4,,,,,,,
2025-02-17,605,9971.0,5751664,SERTRALINE HCL CP 200MG 30,Product in Quarantine - FDC,24,1,1,,,,,,,
2025-02-17,601,381.0,5773031,SODIUM CHLORIDE IS 0.9% 24X500ML,Product in Blocked - FDC,12,1,1,,,,,,,
2025-02-17,625,10992.0,5585120,NIFEDIPINE ER TB 30MG 300,Product in Blocked - FDC,12,1,1,,,,,,,
2025-02-17,624,1526.0,5773106,AMPHOTERICIN B LIPOSOME PR 50MG,Product in Blocked - FDC,11,12,12,,,,,,,
2025-02-17,604,2366.0,5477328,OMNIPAQUE BT 9MG/ML 10X500ML PSP,Product in Blocked - FDC,8,10,10,,,,,,,
2025-02-17,613,2593.0,5720560,BIKTARVY TB50-200-25MG 30CPLT BPK,Product in Blocked - FDC,7,1,3,,,,,,,
2025-02-17,624,2545.0,4370326,PANTOPRAZOLE SOD TB 40MG 1000 DR,Product in Blocked - FDC,5,1,1,,,,,,,
2025-02-17,604,2366.0,3525854,VISIPAQUE BT 320MG/ML10X150ML PLM,Product in Blocked - FDC,4,2,2,,,,,,,
2025-02-17,606,612.0,4599726,NEUPRO AP 6MG/24HR 30,Product in Blocked - FDC,4,2,2,,,,,,,
2025-02-17,645,11116.0,5801121,RICOLA LZ 2MG 24 HNY HRB,Product in Blocked - FDC,4,2,2,,,,,,,
2025-02-17,648,7060.0,5577333,SUDAFED SIN/CONG 12H TB 120MG 20,Product in Blocked - FDC,4,6,6,,,,,,,
2025-02-17,647,1074.0,1964352,MONOJECT ORAL SY 100 6ML CLR,Product in Blocked - FDC,4,2,2,,,,,,,
2025-02-17,624,10841.0,5910641,SOD/POT/MAG SULF SL 2X177ML,Product in Blocked - FDC,3,3,3,,,,,,,
2025-02-17,624,9825.0,5061890,MONTELUKAST SODIUM CW 4MG 5X10UD,Product in Blocked - FDC,2,1,1,,,,,,,
2025-02-17,628,4097.0,4025086,OXCARBAZEPINE TB 600MG 100,Product in Blocked - FDC,2,3,3,,,,,,,
2025-02-17,602,10367.0,5943451,ZOMIG SN 5MG 6 NSL SPRY,Product in Blocked - FDC,2,2,2,,,,,,,
2025-02-17,613,2593.0,5423470,BIKTARVY 50-200-25MG TB 30 CPLT,Product in Blocked - FDC,1,4,4,,,,,,,
2025-02-17,633,10556.0,5515598,RIZATRIPTAN BENZO TB 5MG 2X6UD,Product in Blocked - FDC,1,1,1,,,,,,,
