column_name,data_type
process_date,timestamp
invoice_date,date
cin,int64
cin_desc,string
dc,int64
dc_name,string
product_class_code,int64
product_class_desc,string
lf_order_status,string
lf_order_line_status,string
cf_order_delivery_status,string
cf_supplier_status,string
cf_late_internal_po_rca,string
purchase_order,string
lf_order_date,date
lf_ship_to_location_num,int64
lf_order_supplier,string
lf_orig_exp_del_date,date
lf_last_received_date,date
cf_asn_process_days,float64
cf_asn_average_3months_process_time_supp,float64
lf_order_item_qty,float64
lf_rec_qty,float64
cf_network_rec_qty,float64
cf_network_forecast_qty,float64
cf_network_holdout_qty,float64
lf_inv_demandforecast_forecasting_period,float64
cf_average_16week_order_qty_ship_to_cust,float64
lf_aa_code,string
aa_supplier_date,string
order_client,string
invoice_supplier_code,int64
invoice_supplier_name,string
supplier_type_code,int64
supplier_type_desc,string
invoice_number,int64
invoice_line_number,int64
lf_ship_to_customer_num,int64
sap_ship_to_customer_number,int64
sap_ship_to_customer_name,string
contract_group_number,string
contract_group_name,string
ndc,int64
buyer_number,int64
buyer_name,string
dc_acct,string
lf_l01_afltn_num,int64
l01_afltn_name,string
l02_afltn_name,string
l03_afltn_name,string
lf_shrt_reason_desc,string
lf_shrt_id,string
lf_short_reason_service_level,string
product_name,string
product_type_code,int64
product_type_desc,string
orig_order_qty,float64
lf_order_qty,float64
ship_qty,float64
short_qty,float64
exp_del_date,date
lf_orig_del_date,date
sku_id,string
sku_desc,string
ndc_no,string
asn_client_id,string
asn_vendor_number,string
asn_sequence_number,int64
asn_carrier_name,string
asn_shipping_location,string
asn_shipping_id,string
asn_lot,string
asn_tracking_number,string
asn_prior_quantity,float64
asn_quantity,float64
cf_cin_orig_order_qty,float64
cf_cin_order_qty,float64
cf_cin_ship_qty,float64
cf_cin_short_qty,float64
cf_cin_dc_short_qty,float64
lf_l02_afltn_num,int64
lf_l03_afltn_num,int64
inv_activity_class_code,string
lf_cin_status,string
cf_sum_7days_order_qty_cin_dc,float64
lf_arrival_time,timestamp
apph_fdc,string
apph_carrier,string
apph_supplier,string
lf_apph_appointment_date,date
lf_po_cancel_date,date
lf_short_code,string
cf_count_process_days,float64
lf_card_gen_ind_cde,int64
lf_bypass_lt_flag,string
cf_supplier_type,string
cf_cin_po_asn_count,int64
lf_vbap_shrt_id,string
cf_network_backorder_qty,float64
pdlsts,string
lf_po_open_qty,float64
polineitem,string
purch_doc_type,string
lf_customer_order_date,date
cf_sum_order_qty_dc,float64
cf_sap_ship_to_customer_cin_short_qty,float64
acct_class_cde,string
cf_cin_dc_order_qty,float64
cf_cin_dc_orig_order_qty,float64
cf_cin_dc_ship_qty,float64
mtrl_num_raw,string
plant_raw,string
supplier_num_raw,string
ship_to_acct_raw,string
affiliation_num_1_raw,string
affiliation_num_2_raw,string
affiliation_num_3_raw,string
cf_mvmt_type,string
cf_receipt_qty_late,float64
cf_thirty_days_po_count,int64
asn_expiry_date,date
asn_estimated_ship_date,date
lf_asn_estimated_delivery_date,date
lf_asn_processed_date,date
asn_confirmed_ship_date,date
lf_customer_order_datetime,timestamp
curr_aa_code,string
lf_invtry_system_cncl_dte,date
