column_name,data_type
Process_Date,TIMESTAMP
Invoice_Date,DATE
CIN,INT64
CIN_Desc,STRING
DC,INT64
DC_Name,STRING
MARD_MATNR,STRING
MARD_WERKS,STRING
Product_Class_Code,NUMERIC
Product_Class_Desc,STRING
LF_CIN_Status,STRING
LF_Card_Gen_Ind_Cde,INT64
CF_Product_In_Quarantine_RCA,STRING
CF_INSME_Qty,FLOAT64
LF_AA_Code,STRING
LF_CUSTOMER_ORDER_DATE,DATE
LF_Customer_Order_Datetime,TIMESTAMP
LF_Short_Code,STRING
LF_SHRT_Id,STRING
Inv_Activity_Class_Code,STRING
LAST_SNAPSHOT_QUAR_INVENTORY,TIMESTAMP
Orig_Order_Qty,FLOAT64
LF_Order_Qty,FLOAT64
Ship_Qty,FLOAT64
Short_Qty,FLOAT64
Invoice_Number,INT64
INVOICE_LINE_NUMBER,INT64
Supplier_Type_Code,FLOAT64
Supplier_Type_Desc,STRING
CF_Sum_Order_Qty_DC,FLOAT64
CF_Network_Backorder_Qty,FLOAT64
CF_CIN_Orig_Order_Qty,FLOAT64
CF_CIN_Order_Qty,FLOAT64
CF_CIN_Ship_Qty,FLOAT64
CF_CIN_Short_Qty,FLOAT64
CF_CIN_DC_Short_Qty,FLOAT64
LF_VBAP_SHRT_ID,STRING
Inv_Purchasing_Supplier,STRING
CF_INSME_Qty_NLC,FLOAT64
CF_LABST_Qty_NLC,FLOAT64
ACCT_CLASS_CDE,STRING
CF_CIN_DC_Order_Qty,FLOAT64
CF_CIN_DC_Orig_Order_Qty,FLOAT64
CF_CIN_DC_Ship_Qty,FLOAT64
MTRL_NUM_RAW,STRING
PLANT_RAW,STRING
Curr_AA_Code,STRING
LF_INV_TOTAL_ON_HAND_QTY,FLOAT64
LF_INV_AVAIL_QTY,FLOAT64
