column_name,data_type
process_date,timestamp
invoice_date,date
cin,int64
cin_desc,string
dc,int64
dc_name,string
mard_matnr,string
mard_werks,string
product_class_code,numeric
product_class_desc,string
lf_cin_status,string
lf_card_gen_ind_cde,int64
cf_product_in_quarantine_rca,string
cf_insme_qty,float64
lf_aa_code,string
lf_customer_order_date,date
lf_customer_order_datetime,timestamp
lf_short_code,string
lf_shrt_id,string
inv_activity_class_code,string
last_snapshot_quar_inventory,timestamp
orig_order_qty,float64
lf_order_qty,float64
ship_qty,float64
short_qty,float64
invoice_number,int64
invoice_line_number,int64
supplier_type_code,float64
supplier_type_desc,string
cf_sum_order_qty_dc,float64
cf_network_backorder_qty,float64
cf_cin_orig_order_qty,float64
cf_cin_order_qty,float64
cf_cin_ship_qty,float64
cf_cin_short_qty,float64
cf_cin_dc_short_qty,float64
lf_vbap_shrt_id,string
inv_purchasing_supplier,string
cf_insme_qty_nlc,float64
cf_labst_qty_nlc,float64
acct_class_cde,string
cf_cin_dc_order_qty,float64
cf_cin_dc_orig_order_qty,float64
cf_cin_dc_ship_qty,float64
mtrl_num_raw,string
plant_raw,string
curr_aa_code,string
lf_inv_total_on_hand_qty,float64
lf_inv_avail_qty,float64
